TASK_W6KEY,TASK_NUMBER,ORDER_NUMBER
5000000,3,1000
5000001,15,1001
5000002,9,1002
5000003,1,1003
5000004,2,1004
5000005,3,1005
5000006,5,1006
5000007,4,1007
5000008,9,1008
5000009,3,1009
5000010,3,1010
5000011,1,1011
5000012,1,1012
5000013,4,1013
5000014,1,1014
5000015,2,1015
5000016,3,1016
5000017,2,1017
5000018,14,1018
5000019,4,1019
5000020,15,1020
5000021,5,1021
5000022,18,1022
5000023,10,1023
5000024,1,1024
5000025,23,1025
5000026,1,1026
5000027,26,1027
5000028,1,1028
5000029,1,1029
5000030,17,1030
5000031,1,1031
5000032,1,1032
5000033,23,1033
5000034,6,1034
5000035,19,1035
5000036,1,1036
5000037,1,1037
5000038,2,1038
5000039,2,1039
5000040,1,1040
5000041,26,1041
5000042,1,1042
5000043,1,1043
5000044,2,1044
5000045,1,1045
5000046,1,1046
5000047,23,1047
5000048,1,1048
5000049,3,1049
5000050,6,1050
5000051,1,1051
5000052,2,1052
5000053,4,1053
5000054,10,1054
5000055,2,1055
5000056,1,1056
5000057,2,1057
5000058,5,1058
5000059,10,1059
5000060,17,1060
5000061,5,1061
5000062,1,1062
5000063,2,1063
5000064,4,1064
5000065,1,1065
5000066,2,1066
5000067,1,1067
5000068,1,1068
5000069,5,1069
5000070,5,1070
5000071,2,1071
5000072,4,1072
5000073,2,1073
5000074,2,1074
5000075,1,1075
5000076,3,1076
5000077,11,1077
5000078,2,1078
5000079,2,1079
5000080,2,1080
5000081,2,1081
5000082,3,1082
5000083,4,1083
5000084,3,1084
5000085,12,1085
5000086,5,1086
5000087,5,1087
5000088,3,1088
5000089,23,1089
5000090,1,1090
5000091,3,1091
5000092,3,1092
5000093,3,1093
5000094,4,1094
5000095,13,1095
5000096,3,1096
5000097,4,1097
5000098,5,1098
5000099,19,1099
5000100,6,1100
5000101,14,1101
5000102,6,1102
5000103,15,1103
5000104,1,1104
5000105,1,1105
5000106,1,1106
5000107,1,1107
5000108,7,1108
5000109,5,1109
5000110,2,1110
5000111,2,1111
5000112,2,1112
5000113,8,1113
5000114,2,1114
5000115,1,1115
5000116,3,1116
5000117,16,1117
5000118,4,1118
5000119,8,1119
5000120,5,1120
5000121,3,1121
5000122,6,1122
5000123,9,1123
5000124,7,1124
5000125,6,1125
5000126,17,1126
5000127,3,1127
5000128,9,1128
5000129,2,1129
5000130,10,1130
5000131,2,1131
5000132,18,1132
5000133,2,1133
5000134,10,1134
5000135,19,1135
5000136,1,1136
5000137,20,1137
5000138,3,1138
5000139,4,1139
5000140,5,1140
5000141,6,1141
5000142,1,1142
5000143,1,1143
5000144,32,1144
5000145,26,1145
5000146,1,1146
5000147,6,1147
5000148,1,1148
5000149,1,1149
5000150,8,1150
5000151,5,1151
5000152,4,1152
5000153,9,1153
5000154,1,1154
5000155,1,1155
5000156,8,1156
5000157,1,1157
5000158,1,1158
5000159,4,1159
5000160,4,1160
5000161,1,1161
5000162,1,1162
5000163,1,1163
5000164,1,1164
5000165,1,1165
5000166,1,1166
5000167,1,1167
5000168,1,1168
5000169,1,1169
5000170,2,1170
5000171,3,1171
5000172,6,1172
5000173,1,1173
5000174,3,1174
5000175,1,1175
5000176,2,1176
5000177,2,1177
5000178,8,1178
5000179,32,1179
5000180,5,1180
5000181,1,1181
5000182,2,1182
5000183,1,1183
5000184,1,1184
5000185,1,1185
5000186,11,1186
5000187,3,1187
5000188,1,1188
5000189,14,1189
5000190,1,1190
5000191,2,1191
5000192,2,1192
5000193,1,1193
5000194,1,1194
5000195,1,1195
5000196,2,1196
5000197,1,1197
5000198,11,1198
5000199,2,1199
5000200,1,1200
5000201,1,1201
5000202,2,1202
5000203,1,1203
5000204,2,1204
5000205,2,1205
5000206,2,1206
5000207,11,1207
5000208,3,1208
5000209,3,1209
5000210,2,1210
5000211,2,1211
5000212,2,1212
5000213,3,1213
5000214,1,1214
5000215,22,1215
5000216,1,1216
5000217,15,1217
5000218,1,1218
5000219,2,1219
5000220,1,1220
5000221,26,1221
5000222,3,1222
5000223,3,1223
5000224,3,1224
5000225,1,1225
5000226,3,1226
5000227,3,1227
5000228,1,1228
5000229,3,1229
5000230,1,1230
5000231,3,1231
5000232,1,1232
5000233,1,1233
5000234,3,1234
5000235,3,1235
5000236,4,1236
5000237,1,1237
5000238,1,1238
5000239,12,1239
5000240,2,1240
5000241,2,1241
5000242,4,1242
5000243,1,1243
5000244,3,1244
5000245,3,1245
5000246,4,1246
5000247,1,1247
5000248,2,1248
5000249,1,1249
5000250,2,1250
5000251,4,1251
5000252,2,1252
5000253,2,1253
5000254,5,1254
5000255,4,1255
5000256,4,1256
5000257,6,1257
5000258,5,1258
5000259,1,1259
5000260,5,1260
5000261,1,1261
5000262,4,1262
5000263,1,1263
5000264,1,1264
5000265,1,1265
5000266,3,1266
5000267,1,1267
5000268,2,1268
5000269,3,1269
5000270,6,1270
5000271,9,1271
5000272,7,1272
5000273,1,1273
5000274,2,1274
5000275,8,1275
5000276,1,1276
5000277,1,1277
5000278,6,1278
5000279,1,1279
5000280,3,1280
5000281,8,1281
5000282,1,1282
5000283,5,1283
5000284,7,1284
5000285,7,1285
5000286,2,1286
5000287,9,1287
5000288,3,1288
5000289,2,1289
5000290,3,1290
5000291,8,1291
5000292,4,1292
5000293,4,1293
5000294,5,1294
5000295,4,1295
5000296,2,1296
5000297,10,1297
5000298,1,1298
5000299,6,1299
5000300,2,1300
5000301,5,1301
5000302,1,1302
5000303,1,1303
5000304,1,1304
5000305,2,1305
5000306,1,1306
5000307,23,1307
5000308,2,1308
5000309,11,1309
5000310,1,1310
5000311,1,1311
5000312,12,1312
5000313,1,1313
5000314,1,1314
5000315,2,1315
5000316,1,1316
5000317,1,1317
5000318,1,1318
5000319,1,1319
5000320,2,1320
5000321,2,1321
5000322,3,1322
5000323,11,1323
5000324,1,1324
5000325,2,1325
5000326,5,1326
5000327,2,1327
5000328,1,1328
5000329,23,1329
5000330,1,1330
5000331,3,1331
5000332,2,1332
5000333,1,1333
5000334,1,1334
5000335,3,1335
5000336,7,1336
5000337,3,1337
5000338,18,1338
5000339,8,1339
5000340,1,1340
5000341,2,1341
5000342,4,1342
5000343,1,1343
5000344,3,1344
5000345,50,1345
5000346,19,1346
5000347,50,1347
5000348,6,1348
5000349,2,1349
5000350,1,1350
5000351,3,1351
5000352,12,1352
5000353,1,1353
5000354,7,1354
5000355,2,1355
5000356,1,1356
5000357,3,1357
5000358,2,1358
5000359,1,1359
5000360,2,1360
5000361,14,1361
5000362,1,1362
5000363,2,1363
5000364,15,1364
5000365,2,1365
5000366,1,1366
5000367,2,1367
5000368,1,1368
5000369,2,1369
5000370,3,1370
5000371,2,1371
5000372,1,1372
5000373,1,1373
5000374,38,1374
5000375,1,1375
5000376,1,1376
5000377,1,1377
5000378,38,1378
5000379,1,1379
5000380,3,1380
5000381,1,1381
5000382,3,1382
5000383,1,1383
5000384,11,1384
5000385,1,1385
5000386,1,1386
5000387,1,1387
5000388,5,1388
5000389,2,1389
5000390,2,1390
5000391,2,1391
5000392,2,1392
5000393,2,1393
5000394,12,1394
5000395,3,1395
5000396,2,1396
5000397,3,1397
5000398,3,1398
5000399,5,1399
5000400,2,1400
5000401,1,1401
5000402,1,1402
5000403,1,1403
5000404,3,1404
5000405,4,1405
5000406,6,1406
5000407,1,1407
5000408,13,1408
5000409,3,1409
5000410,4,1410
5000411,1,1411
5000412,4,1412
5000413,7,1413
5000414,5,1414
5000415,2,1415
5000416,1,1416
5000417,8,1417
5000418,6,1418
5000419,5,1419
5000420,9,1420
5000421,1,1421
5000422,7,1422
5000423,10,1423
5000424,8,1424
5000425,11,1425
5000426,5,1426
5000427,1,1427
5000428,8,1428
5000429,14,1429
5000430,1,1430
5000431,1,1431
5000432,14,1432
5000433,5,1433
5000434,9,1434
5000435,1,1435
5000436,2,1436
5000437,2,1437
5000438,2,1438
5000439,1,1439
5000440,1,1440
5000441,33,1441
5000442,1,1442
5000443,13,1443
5000444,1,1444
5000445,2,1445
5000446,2,1446
5000447,3,1447
5000448,2,1448
5000449,4,1449
5000450,1,1450
5000451,3,1451
5000452,34,1452
5000453,1,1453
5000454,3,1454
5000455,3,1455
5000456,3,1456
5000457,1,1457
5000458,2,1458
5000459,2,1459
5000460,1,1460
5000461,3,1461
5000462,4,1462
5000463,35,1463
5000464,1,1464
5000465,5,1465
5000466,1,1466
5000467,1,1467
5000468,3,1468
5000469,3,1469
5000470,2,1470
5000471,36,1471
5000472,4,1472
5000473,2,1473
5000474,6,1474
5000475,2,1475
5000476,6,1476
5000477,3,1477
5000478,5,1478
5000479,4,1479
5000480,5,1480
5000481,8,1481
5000482,37,1482
5000483,7,1483
5000484,1,1484
5000485,1,1485
5000486,6,1486
5000487,13,1487
5000488,9,1488
5000489,1,1489
5000490,2,1490
5000491,1,1491
